id,date_mastodon,cve_ids
114333562017265259,2025-04-14T00:48:25.000Z,CVE-2025-3541
114333561983001395,2025-04-14T00:48:24.000Z,CVE-2025-3540
114333561932664459,2025-04-14T00:48:23.000Z,CVE-2025-3539
114333561895297920,2025-04-14T00:48:23.000Z,CVE-2025-3445
114332618513530753,2025-04-13T20:48:28.000Z,CVE-2025-3538
114324123959409835,2025-04-12T08:48:11.000Z,CVE-2025-3418
114321059984472400,2025-04-11T19:48:56.000Z,CVE-2025-32367
114321059704404878,2025-04-11T19:48:55.000Z,CVE-2023-42970
114320115054067610,2025-04-11T15:48:40.000Z,CVE-2025-3439
114319664140180995,2025-04-11T13:54:00.812Z,CVE-2025-27520
114319644632716588,2025-04-11T13:49:02.000Z,CVE-2025-23391
114319644586238319,2025-04-11T13:49:01.000Z,CVE-2025-23389
114319644505549460,2025-04-11T13:49:00.000Z,CVE-2025-23388
114319171623498222,2025-04-11T11:48:45.000Z,CVE-2025-31932
114319171580576909,2025-04-11T11:48:44.000Z,CVE-2025-32681
114319171559899802,2025-04-11T11:48:43.000Z,CVE-2025-32663
114319171554806726,2025-04-11T11:48:44.000Z,CVE-2025-32672
114319171478546995,2025-04-11T11:48:43.000Z,CVE-2025-32656
114319171453663937,2025-04-11T11:48:42.000Z,CVE-2025-32654
114319171407245276,2025-04-11T11:48:41.000Z,CVE-2025-32650
114319171378965481,2025-04-11T11:48:41.000Z,CVE-2025-32633
114319171348070218,2025-04-11T11:48:41.000Z,CVE-2025-32631
114319171316873517,2025-04-11T11:48:40.000Z,CVE-2025-32629
114319171268811182,2025-04-11T11:48:39.000Z,CVE-2025-32627
114319171231428148,2025-04-11T11:48:39.000Z,CVE-2025-32618
114319171190646359,2025-04-11T11:48:38.000Z,CVE-2025-32614
114319171162663263,2025-04-11T11:48:38.000Z,CVE-2025-32607
114319171126716146,2025-04-11T11:48:37.000Z,CVE-2025-32603
114319171084336415,2025-04-11T11:48:37.000Z,CVE-2025-32589
114319171057321727,2025-04-11T11:48:36.000Z,CVE-2025-32587
114319171019265655,2025-04-11T11:48:35.000Z,CVE-2025-32579
114319170979520986,2025-04-11T11:48:35.000Z,CVE-2025-32577
114319170962999547,2025-04-11T11:48:34.000Z,CVE-2025-32569
114319170947952424,2025-04-11T11:48:34.000Z,CVE-2025-32568
114319170918244623,2025-04-11T11:48:33.000Z,CVE-2025-32567
