CVE_ID,state,assigner,date_published,date_updated,cvss_score,cvss_version,cwes,exploitDB_type,exploitDB_platform,KEV_product,KEV_knownRansomwareCampaignUse,Vendor,id,date_mastodon
CVE-2017-9833,PUBLISHED,mitre,2017-06-24T00:00:00,2024-08-05T17:18:02.190Z,,,,webapps,linux,,,,109392536931472978,2022-11-23T10:00:44.000Z
CVE-2018-0009,PUBLISHED,juniper,2018-01-10T22:00:00Z,2024-09-16T16:48:50.831Z,5.4,3.0,,,,,,,99337213371415266,2018-01-12T13:59:44.000Z
CVE-2018-0171,PUBLISHED,cisco,2018-03-28T22:00:00,2024-11-13T18:24:11.004Z,,,CWE-20,dos,hardware,IOS and IOS XE,Unknown,Cisco,114060812256739665,2025-02-24T20:44:34.521Z
CVE-2018-0171,PUBLISHED,cisco,2018-03-28T22:00:00,2024-11-13T18:24:11.004Z,,,CWE-20,dos,hardware,IOS and IOS XE,Unknown,Cisco,114060812256739665,2025-02-24T20:44:34.521Z
CVE-2018-0824,PUBLISHED,microsoft,2018-05-09T19:00:00,2024-08-06T13:13:54.108Z,,,CWE-502,local,windows,Windows,Unknown,Microsoft,112894218613564279,2024-08-02T20:04:28.000Z
CVE-2018-0824,PUBLISHED,microsoft,2018-05-09T19:00:00,2024-08-06T13:13:54.108Z,,,CWE-502,local,windows,Windows,Unknown,Microsoft,112894218613564279,2024-08-02T20:04:28.000Z
CVE-2018-0824,PUBLISHED,microsoft,2018-05-09T19:00:00,2024-08-06T13:13:54.108Z,,,CWE-502,local,windows,Windows,Unknown,Microsoft,100225010739369660,2018-06-18T08:58:16.000Z
CVE-2018-10933,PUBLISHED,redhat,2018-10-17T12:00:00,2024-08-05T07:54:35.801Z,9.1,3.0,CWE-592,remote,linux,,,,100918682474765714,2018-10-18T21:08:07.000Z
CVE-2018-10933,PUBLISHED,redhat,2018-10-17T12:00:00,2024-08-05T07:54:35.801Z,9.1,3.0,CWE-592,remote,linux,,,,100918677760133404,2018-10-18T21:06:55.000Z
CVE-2018-11235,PUBLISHED,mitre,2018-05-30T04:00:00,2024-08-05T08:01:52.808Z,,,,,,,,,100693974597971779,2018-09-09T04:41:57.000Z
