Disclosure Date,CVE_ID
2025-01-06,cve-2025-27218
2019-04-17,CVE-2019-7214
2022-07-27,CVE-2022-1373
2022-07-27,CVE-2022-2334
2020-02-11,cve-2020-0618
2019-12-09,CVE-2017-11317
2019-12-09,CVE-2019-18935
2019-12-09,cve-2019-18935
2024-06-04,CVE-2024-1800
2024-06-04,CVE-2024-4358
2024-06-04,cve-2024-1800
2024-06-04,cve-2024-4358
2019-04-10,cve-2019-0232
2023-09-27,cve-2023-40044
2022-06-24,cve-2022-35405
2017-03-26,cve-2017-7269
2018-08-27,CVE-2018-8440
2020-08-05,CVE-2020-3153
2020-08-05,CVE-2020-3433
2020-08-05,CVE-2020-3434
2019-04-09,CVE-2019-0841
2019-04-09,cve-2019-0841
2019-11-12,CVE-2019-1322
2019-11-12,CVE-2019-1405
2019-11-12,cve-2019-1322
2019-11-12,cve-2019-1405
