CVE_ID,vendorProject,product,knownRansomwareCampaignUse,cwes
CVE-2024-43451,Microsoft,Windows,Unknown,CWE-73
CVE-2024-49039,Microsoft,Windows,Unknown,CWE-287
CVE-2019-16278,Nostromo,nhttpd,Unknown,CWE-22
CVE-2024-51567,CyberPersons,CyberPanel,Unknown,CWE-276
CVE-2024-43093,Android,Framework,Unknown,
CVE-2024-5910,Palo Alto Networks,Expedition,Unknown,CWE-306
CVE-2024-8956,PTZOptics,PT30X-SDI/NDI Cameras,Unknown,CWE-287
CVE-2024-8957,PTZOptics,PT30X-SDI/NDI Cameras,Unknown,CWE-78
CVE-2024-37383,Roundcube,Webmail,Unknown,CWE-79
CVE-2024-20481,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),Unknown,CWE-772
CVE-2024-47575,Fortinet,FortiManager,Unknown,CWE-306
CVE-2024-38094,Microsoft,SharePoint,Known,CWE-502
CVE-2024-9537,ScienceLogic,SL1,Unknown,
CVE-2024-40711,Veeam,Backup & Replication,Known,CWE-502
CVE-2024-28987,SolarWinds,Web Help Desk,Unknown,CWE-798
CVE-2024-9680,Mozilla,Firefox,Unknown,CWE-416
CVE-2024-30088,Microsoft,Windows ,Unknown,CWE-367
CVE-2024-9380,Ivanti,Cloud Services Appliance (CSA),Unknown,CWE-77
CVE-2024-9379,Ivanti,Cloud Services Appliance (CSA),Unknown,CWE-89
CVE-2024-23113,Fortinet,Multiple Products,Unknown,CWE-134
CVE-2024-43573,Microsoft,Windows,Unknown,CWE-79
CVE-2024-43572,Microsoft,Windows,Unknown,CWE-707
CVE-2024-43047,Qualcomm,Multiple Chipsets ,Unknown,CWE-416
CVE-2024-45519,Synacor,Zimbra Collaboration Suite (ZCS),Unknown,CWE-284
CVE-2024-29824,Ivanti,Endpoint Manager (EPM),Unknown,CWE-89
CVE-2019-0344,SAP,Commerce Cloud,Unknown,CWE-502
CVE-2020-15415,DrayTek,Multiple Vigor Routers,Unknown,CWE-78
CVE-2023-25280,D-Link,DIR-820 Router,Unknown,CWE-78
CVE-2024-7593,Ivanti,Virtual Traffic Manager,Unknown,"CWE-287, CWE-303"
CVE-2024-8963,Ivanti,Cloud Services Appliance (CSA),Unknown,CWE-22
CVE-2020-14644,Oracle,WebLogic Server,Unknown,
CVE-2022-21445,Oracle,ADF Faces,Unknown,CWE-502
CVE-2020-0618,Microsoft,SQL Server,Unknown,CWE-502
CVE-2024-27348,Apache,HugeGraph-Server,Unknown,CWE-284
CVE-2014-0502,Adobe,Flash Player,Unknown,CWE-399
CVE-2013-0648,Adobe,Flash Player,Unknown,
CVE-2013-0643,Adobe,Flash Player,Unknown,CWE-264
CVE-2014-0497,Adobe,Flash Player,Unknown,CWE-191
CVE-2024-6670,Progress,WhatsUp Gold,Known,CWE-89
CVE-2024-43461,Microsoft,Windows,Unknown,CWE-451
CVE-2024-8190,Ivanti,Cloud Services Appliance,Unknown,CWE-78
CVE-2024-38217,Microsoft,Windows,Unknown,CWE-693
CVE-2024-38014,Microsoft,Windows,Unknown,CWE-269
CVE-2024-38226,Microsoft,Publisher,Unknown,CWE-693
CVE-2024-40766,SonicWall,SonicOS,Known,CWE-284
CVE-2017-1000253,Linux,Kernel,Known,CWE-119
CVE-2016-3714,ImageMagick,ImageMagick,Unknown,CWE-20
CVE-2024-7262,Kingsoft,WPS Office,Unknown,CWE-22
CVE-2021-20124,DrayTek,VigorConnect,Unknown,CWE-22
CVE-2021-20123,DrayTek,VigorConnect,Unknown,CWE-22
CVE-2024-7965,Google,Chromium V8,Unknown,CWE-358
CVE-2024-38856,Apache,OFBiz,Unknown,CWE-863
CVE-2024-7971,Google,Chromium V8,Unknown,CWE-843
CVE-2024-39717,Versa,Director,Unknown,CWE-434
CVE-2021-31196,Microsoft,Exchange Server,Unknown,
CVE-2022-0185,Linux,Kernel,Unknown,CWE-190
CVE-2021-33045,Dahua,IP Camera Firmware,Unknown,CWE-287
CVE-2021-33044,Dahua,IP Camera Firmware,Unknown,CWE-287
CVE-2024-23897,Jenkins,Jenkins Command Line Interface (CLI),Known,CWE-27
CVE-2024-28986,SolarWinds,Web Help Desk,Unknown,CWE-502
CVE-2024-38107,Microsoft,Windows,Unknown,CWE-416
CVE-2024-38106,Microsoft,Windows,Unknown,CWE-591
CVE-2024-38193,Microsoft,Windows,Unknown,CWE-416
CVE-2024-38213,Microsoft,Windows,Unknown,CWE-693
CVE-2024-38178,Microsoft,Windows,Unknown,CWE-843
CVE-2024-38189,Microsoft,Project,Unknown,CWE-20
CVE-2024-32113,Apache,OFBiz,Unknown,CWE-22
CVE-2024-36971,Android,Kernel,Unknown,CWE-416
CVE-2018-0824,Microsoft,Windows,Unknown,CWE-502
CVE-2024-37085,VMware,ESXi,Known,CWE-305
CVE-2023-45249,Acronis,Cyber Infrastructure (ACI),Unknown,CWE-1393
